from,to
Platzeck,Kohlekommission
Platzeck,SPD
Pofalla,Kohlekommission
Pofalla,DB
Pofalla,CDU
Praetorius,Kohlekommission
Praetorius,HfTW
Praetorius,Agora
Tillich,Kohlekommission
Tillich,CDU
Hasselfeldt,Kohlekommission
Hasselfeldt,CSU
Hasselfeldt,DRK
Kampeter,Kohlekommission
Kampeter,BDA
Kampeter,CDU
Kapferer,Kohlekommission
Kapferer,FDP
Kapferer,BDEW
Kempf,Kohlekommission
Kempf,BDI
Nemat,Kohlekommission
Nemat,Telekom
Nemat,McKinsey
Reiche,Kohlekommission
Reiche,VKU
Reiche,CDU
Reiche,Verkehrsministerium
Röstel,Kohlekommission
Röstel,StadtentwässerungDresden
Röstel,EnBW
Röstel,Grüne
Schweitzer,Kohlekommission
Schweitzer,FDP
Schweitzer,DIHT
Schweitzer,Alba
Grothus,Kohlekommission
Grothus,BFB
Grothus,BraunkohleBetroffene
Wodtke,Kohlekommission
Wodtke,CDU
Wodtke,GZW
Wodtke,Bergbaubeschädigte
Herntier,Kohlekommission
Herntier,Spremberger
Kreuzberg,Kohlekommission
Kreuzberg,CDU
Priggen,Kohlekommission
Priggen,LEENRW
Priggen,Grüne
Vassiliadis,Kohlekommission
Vassiliadis,IGBCE
Scheidt,Kohlekommission
Scheidt,SPD
Scheidt,Verdi
Scheidt,Eon
Körzell,Kohlekommission
Körzell,SPD
Körzell,DGB
Kaiser,Kohlekommission
Kaiser,Greenpeace
Weiger,Kohlekommission
Weiger,BUND
Weiger,RfNE
Niebert,Kohlekommission
Niebert,DNR
Niebert,NaturfreundeDE
Niebert,UniZuerich
Allmendinger,Kohlekommission
Allmendinger,WZB
Allmendinger,HumboldtUni
Allmendinger,DGfS
Schönefeld,Kohlekommission
Schönefeld,Arbeitsagentur
Matthes,Kohlekommission
Matthes,OekoInstitut
Schellnhuber,Kohlekommission
Schellnhuber,PotsdamInstitut
Schellnhuber,UniPotsdam
Schellnhuber,SRC
Schellnhuber,WBGU
Schellnhuber,IPCC
Niebuhr,Kohlekommission
Niebuhr,UniKiel
Wehrspohn,Kohlekommission
Wehrspohn,FraunhoferHalle
Wehrspohn,MartinLutherUni
Lämmel,Kohlekommission
Lämmel,AfWuE
Lämmel,PKM
Lenz,Kohlekommission
Lenz,AfWuE
Lenz,PBfnE
Miersch,Kohlekommission
